ds,yhat,yhat_lower,yhat_upper
2016-10-18,17.029426921558233,10.499990030657889,23.058220141259117
2016-10-19,17.098363755883227,10.617533915562861,22.67556815655212
2016-10-20,17.012162010399628,11.14543160149046,22.993305234795994
2016-10-21,16.95505463414829,10.857761070860338,22.85807053771973
2016-10-24,17.039597217948742,10.997233586287816,22.686624512004517
2016-10-25,17.040637419313917,11.061535314932781,23.506893755420695
2016-10-26,17.10300485531911,11.185474070195133,22.84255727202239
2016-10-27,17.011942437956744,11.221280781904536,23.157485128389645
2016-10-28,16.95147866391267,10.509464493056338,23.055333799136246
2016-10-31,17.032166298914348,10.98658308523641,22.921411452117834
2016-11-01,17.032898589623947,11.000312752587051,23.2376150712246
2016-11-02,17.094875036757042,11.10631962141062,23.01286342546013
2016-11-03,17.003014418633875,11.028342933217822,22.586979883185585
2016-11-04,16.941055303364532,10.68905552957123,23.28518791556503
2016-11-07,17.010969706533707,10.997940491540623,23.07234054760806
2016-11-08,17.005654041649944,10.944816741787994,23.060525507142817
2016-11-09,17.060369663660392,11.022599344275465,22.840553494125064
2016-11-10,16.960169893898225,10.865462806276273,23.00488665203478
2016-11-14,16.929447460468694,10.830141036677476,22.343527815741115
2016-11-15,16.915081611508885,11.157434395013055,22.51419285941269
2016-11-16,16.961941681001488,10.716517088764665,22.869429750819833
2016-11-17,16.85559544275892,10.643693759033392,22.67940370497967
2016-11-18,16.780508484751458,10.718037705465017,22.738019840663437
2016-11-21,16.82711326751455,10.863675084244546,22.74383416614834
2016-11-22,16.822052939202784,10.68733658263278,22.568317806221526
2016-11-23,16.882279340469548,10.744746428413855,22.97689558081825
2016-11-25,16.740108195255985,10.762471081329055,22.621473966567486
2016-11-28,16.875194195016142,10.830085839143463,22.798907863462947
2016-11-29,16.906228973935505,11.063671480864217,22.80989619431219
2016-11-30,17.004989752734406,11.222229850258245,23.27346358180052
2016-12-01,16.956499127654997,10.943136934763386,23.0507454257759
2016-12-02,16.94449135511428,10.759812520430236,23.03758061399678
2016-12-05,17.2018936986087,11.389455579175323,23.468166990399187
2016-12-06,17.27036464018261,11.187548234758177,23.640402637261605
2016-12-07,17.40356852841612,11.26106568934968,23.461480315903362
2016-12-08,17.385814507291148,11.301477661706743,23.144274390990134
2016-12-09,17.400211110351368,11.16123003486785,23.358782931083983
2016-12-12,17.70632651115308,11.84073588340986,23.838200552423885
2016-12-13,17.78006693326201,11.545670412237923,24.216793655178545
2016-12-14,17.913047014395058,11.847008849212756,23.950488330642766
2016-12-15,17.88981792322643,11.817162064461442,23.64250564828876
2016-12-16,17.893894761192616,11.625405193562814,23.54582963131623
2016-12-19,18.14633596287401,11.873510458023087,23.889901940780405
2016-12-20,18.19738852410662,12.18803000002316,23.79889779693127
2016-12-21,18.30692562556066,12.125191013757558,24.401889159205048
2016-12-22,18.260583048690368,12.22176124899132,24.308499839129375
2016-12-23,18.242984370066534,12.212179821993562,24.358939189184966
2016-12-27,18.495313805698128,12.281439785351091,24.705883197984463
2016-12-28,18.60551728285031,12.475786066996942,24.340836183821263
2016-12-29,18.566591779589352,12.681623240578803,24.73526868202968
2016-12-30,18.563537371633224,12.356919930591815,24.56369035341422
2017-01-03,18.945225946986376,12.754000767288836,24.73255400671444
2017-01-04,19.10351896801133,13.026478964506467,24.909934569703314
2017-01-05,19.117359484026064,13.176141298075137,25.383438755585118
2017-01-06,19.17056205750387,12.889447040543915,25.229211123997064
2017-01-09,19.639585929653247,13.610831678009573,26.017547138279134
2017-01-10,19.7827289872849,13.432263828069225,25.536262986555837
2017-01-11,19.991663408723074,13.738628216694698,25.76264403627639
2017-01-12,20.04984491297794,13.869233173823016,25.95323043091136
2017-01-13,20.139366825638366,14.172854631832276,26.338697741128264
